#filename	M10	M50	M90	M100	F100	F10K	F1M	H	H2
./../repeatresolutionpaper/counts-validationgenomedata/SRR006331.fastq.21	40862	424114	3786307	6398660	0.028441	0.050469	0.775098	1733577.4	1667.0
../repeatresolutionpaper/counts-validationgenomedata/SRR090709A.fastq.21	599538	4631984	62437052	90362715	0.002067	0.008738	0.150351	27678625.3	4046468.0
../repeatresolutionpaper/counts-validationgenomedata/SRR396651A.fastq.21	156857	1576501	32747245	48782994	0.000666	0.017215	0.369926	11115079.7	4102196.6
../repeatresolutionpaper/counts-validationgenomedata/SRR060960A.fastq.21	108412	1140995	46402302	76835045	0.007103	0.039611	0.450976	7907920.7	38677.2
../repeatresolutionpaper/counts-validationgenomedata/SRR071425B.fastq.21	326744	3408128	25878670	241674731	0.021587	0.028996	0.197522	13253413.7	164985.2
../repeatresolutionpaper/counts-validationgenomedata/SRR090599B.fastq.21	390974	2909519	5819547	202622931	0.011226	0.024799	0.202721	9626654.4	540295.1
../repeatresolutionpaper/counts-validationgenomedata/SRR190843B.fastq.21	294185	1856892	3813640	309833970	0.001683	0.011856	0.289918	7033454.7	3635821.9
../repeatresolutionpaper/counts-validationgenomedata/SRR387449B.fastq.21	460	2713	114091	67345938	0.023388	0.877678	0.926198	21600.5	6884.9
#filename	M10	M50	M90	M100	F100	F10K	F1M	H	H2
../repeatresolutionpaper/counts-validationgenomedata/SRR387449B.fastq.21	460	2713	114091	67345938	0.023388	0.877678	0.926198	21600.5	6884.9
../repeatresolutionpaper/counts-validationgenomedata/SRR006331.fastq.21	40862	424114	3786307	6398660	0.028441	0.050469	0.775098	1733577.4	1667.0
../repeatresolutionpaper/counts-validationgenomedata/SRR060960A.fastq.21	108412	1140995	46402302	76835045	0.007103	0.039611	0.450976	7907920.7	38677.2
../repeatresolutionpaper/counts-validationgenomedata/SRR396651A.fastq.21	156857	1576501	32747245	48782994	0.000666	0.017215	0.369926	11115079.7	4102196.6
../repeatresolutionpaper/counts-validationgenomedata/SRR190843B.fastq.21	294185	1856892	3813640	309833970	0.001683	0.011856	0.289918	7033454.7	3635821.9
../repeatresolutionpaper/counts-validationgenomedata/SRR090599B.fastq.21	390974	2909519	5819547	202622931	0.011226	0.024799	0.202721	9626654.4	540295.1
../repeatresolutionpaper/counts-validationgenomedata/SRR071425B.fastq.21	326744	3408128	25878670	241674731	0.021587	0.028996	0.197522	13253413.7	164985.2
../repeatresolutionpaper/counts-validationgenomedata/SRR090709A.fastq.21	599538	4631984	62437052	90362715	0.002067	0.008738	0.150351	27678625.3	4046468.0
#filename	M10	M50	M90	M100	F100	F10K	F1M	H	H2
../repeatresolutionpaper/counts-validationgenomedata/SRR387449B.fastq.21	460	2713	114091	67345938	0.023388	0.877678	0.926198	21600.5	6884.9
../repeatresolutionpaper/counts-validationgenomedata/SRR006331.fastq.21	40862	424114	3786307	6398660	0.028441	0.050469	0.775098	1733577.4	1667.0
../repeatresolutionpaper/counts-validationgenomedata/SRR060960A.fastq.21	108412	1140995	46402302	76835045	0.007103	0.039611	0.450976	7907920.7	38677.2
../repeatresolutionpaper/counts-validationgenomedata/SRR396651A.fastq.21	156857	1576501	32747245	48782994	0.000666	0.017215	0.369926	11115079.7	4102196.6
../repeatresolutionpaper/counts-validationgenomedata/SRR190843B.fastq.21	294185	1856892	3813640	309833970	0.001683	0.011856	0.289918	7033454.7	3635821.9
../repeatresolutionpaper/counts-validationgenomedata/SRR090599B.fastq.21	390974	2909519	5819547	202622931	0.011226	0.024799	0.202721	9626654.4	540295.1
../repeatresolutionpaper/counts-validationgenomedata/SRR071425B.fastq.21	326744	3408128	25878670	241674731	0.021587	0.028996	0.197522	13253413.7	164985.2
../repeatresolutionpaper/counts-validationgenomedata/SRR090709A.fastq.21	599538	4631984	62437052	90362715	0.002067	0.008738	0.150351	27678625.3	4046468.0
